Boss,Big,1/2013,Schlossallee,21,20756,Hamburg,0175 384358284,040 94358233,Big.Boss@daddeldu.com,1,Geschäftsleitung
Vogler,Leon,3/2009,Opernplatz,34a,20757,Hamburg,0172 84382094,040 94358092,Leon.Vogler@daddeldu.com,2,Geschäftsleitung
Koehler,Wolfgang,7/2006,Parkstrasse,49,20758,Hamburg,0173 84382094,041 94358092,Wolfgang.Koehler@daddeldu.com,3,Geschäftsleitung
Schmitt,Dirk,12/2011,Goethestrasse,389,20759,Hamburg,0174 84382094,042 94358092,Dirk.Schmitt@daddeldu.com,4,Geschäftsleitung
Hirsch,Silke,12/2012,Rathausplatz,390,20760,Hamburg,0175 84382094,043 94358092,Silke.Hirsch@daddeldu.com,5,Geschäftsleitung
Nagel,Torsten,12/2013,Hafenstrasse,391,20761,Hamburg,0176 84382094,044 94358092,Torsten.Nagel@daddeldu.com,6,Geschäftsleitung
Weiss,Mathias,12/2014,Poststrasse,392,20762,Hamburg,0177 84382094,045 94358092,Mathias.Weiss@daddeldu.com,7,Geschäftsleitung
Krueger,Maximilian,12/2015,Berliner Strasse,393,20763,Hamburg,0178 84382094,046 94358092,Maximilian.Krueger@daddeldu.com,8,Geschäftsleitung
Oster,Jessika,12/2016,Elisenstrasse,394,20764,Hamburg,0179 84382094,047 94358092,Jessika.Oster@daddeldu.com,9,Geschäftsleitung
Rothstein,Christina,12/2017,Chausseestrasse,395,20765,Hamburg,0180 84382094,048 94358092,Christina.Rothstein@daddeldu.com,10,Geschäftsleitung
Burger,Michelle,12/2018,Badstrasse,396,20766,Hamburg,0181 84382094,049 94358092,Michelle.Burger@daddeldu.com,11,Geschäftsleitung
